r1,r2,r1len,r2len,r1conf,r2conf,r1sup,r2sup,r1selectionval,r2selectionval,label,r1truepos,r2truepos,r1falsepos,r2falsepos
{PopulatedPlacesEstablishedInThe1stMillenniumBC=1.0} => {Label=highest},"{EuropeanCapitalsOfCulture=1.0,CapitalsInEurope=1.0,WorldHeritageSitesInAustria=1.0} => {Label=highest}",1,3,1,1,0.013,0.004,0.8,0.667,highest,3,1,0,0
{GermanStateCapitals=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,GermanStateCapitals=1.0} => {Label=highest}",1,2,1,1,0.017,0.009,0.833,0.75,highest,4,2,0,0
{PortCitiesAndTownsInDenmark=1.0} => {Label=highest},"{EuropeanCapitalsOfCulture=1.0,CapitalsInEurope=1.0,PortCitiesAndTownsOfTheBalticSea=1.0} => {Label=highest}",1,3,1,0.75,0.004,0.013,0.667,0.667,highest,1,3,0,1
{AustralianCapitalCities=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,HostCitiesOfTheCommonwealthGames=1.0} => {Label=highest}",1,2,1,1,0.022,0.013,0.857,0.8,highest,5,3,0,0
{PopulatedPlacesEstablishedInThe13thCentury=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,EuropeanCapitalsOfCulture=1.0} => {Label=highest}",1,2,1,0.833,0.009,0.022,0.75,0.75,highest,2,5,0,1
{CitiesInSwitzerland=1.0} => {Label=highest},"{CapitalsInEurope=1.0,WorldHeritageSitesInSwitzerland=1.0} => {Label=highest}",1,2,1,1,0.013,0.004,0.8,0.667,highest,3,1,0,0
{GermanStateCapitals=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,EuropeanCapitalsOfCulture=1.0} => {Label=highest}",1,2,1,0.833,0.017,0.022,0.833,0.75,highest,4,5,0,1
{AustralianCapitalCities=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,HostCitiesOfTheCommonwealthGames=1.0} => {Label=highest}",1,2,1,1,0.022,0.013,0.857,0.8,highest,5,3,0,0
{SwedishMunicipalSeats=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,EuropeanCapitalsOfCulture=1.0} => {Label=highest}",1,2,1,0.833,0.004,0.022,0.667,0.75,highest,1,5,0,1
{NUTS1StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=highest},"{EuropeanCapitalsOfCulture=1.0,CapitalsInEurope=1.0,RegionsOfEuropeWithMultipleOfficialLanguages=1.0} => {Label=highest}",1,3,1,1,0.013,0.004,0.8,0.667,highest,3,1,0,0
{FormerCapitalsOfCanada=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,PortSettlementsInQuebec=1.0} => {Label=highest}",1,2,1,1,0.009,0.004,0.75,0.667,highest,2,1,0,0
{Tamil-speakingCountriesAndTerritories=1.0} => {Label=highest},"{MemberStatesOfTheUnitedNations=1.0,YouthOlympicGamesHostCities=1.0} => {Label=highest}",1,2,1,1,0.004,0.004,0.667,0.667,highest,1,1,0,0
{WorldHeritageSitesInFrance=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,EuropeanCapitalsOfCulture=1.0} => {Label=highest}",1,2,1,0.833,0.004,0.022,0.667,0.75,highest,1,5,0,1
{PopulatedPlacesEstablishedIn1776=1.0} => {Label=highest},"{PortSettlementsInTheUnitedStates=1.0,PopulatedPlacesEstablishedIn1776=1.0} => {Label=highest}",1,2,1,1,0.004,0.004,0.667,0.667,highest,1,1,0,0
{PortCitiesAndTownsInFinland=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,EuropeanCapitalsOfCulture=1.0} => {Label=highest}",1,2,1,0.833,0.004,0.022,0.667,0.75,highest,1,5,0,1
{VikingAgePopulatedPlaces=1.0} => {Label=highest},"{CapitalsInEurope=1.0,VikingAgePopulatedPlaces=1.0} => {Label=highest}",1,2,1,1,0.009,0.009,0.75,0.75,highest,2,2,0,0
{UniversityTownsInTheUnitedStates=1.0} => {Label=highest},"{PortSettlementsInTheUnitedStates=1.0,UniversityTownsInTheUnitedStates=1.0} => {Label=highest}",1,2,1,1,0.004,0.004,0.667,0.667,highest,1,1,0,0
{VikingAgePopulatedPlaces=1.0} => {Label=highest},"{EuropeanCapitalsOfCulture=1.0,CapitalsInEurope=1.0,VikingAgePopulatedPlaces=1.0} => {Label=highest}",1,3,1,1,0.009,0.004,0.75,0.667,highest,2,1,0,0
{AustralianCapitalCities=1.0} => {Label=highest},"{HostCitiesOfTheCommonwealthGames=1.0,CoastalCitiesInAustralia=1.0} => {Label=highest}",1,2,1,1,0.022,0.013,0.857,0.8,highest,5,3,0,0
{RomanSitesInSpain=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,RomanSitesInSpain=1.0} => {Label=highest}",1,2,1,1,0.004,0.004,0.667,0.667,highest,1,1,0,0
{StaplePorts=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,HostCitiesOfTheCommonwealthGames=1.0} => {Label=highest}",1,2,1,1,0.009,0.013,0.75,0.8,highest,2,3,0,0
{RomanTownsAndCitiesInPortugal=1.0} => {Label=highest},"{EuropeanCapitalsOfCulture=1.0,CapitalsInEurope=1.0,RomanTownsAndCitiesInPortugal=1.0} => {Label=highest}",1,3,1,1,0.004,0.004,0.667,0.667,highest,1,1,0,0
"{PopulatedPlacesInDuPageCounty,Illinois=1.0} => {Label=highest}","{PortSettlementsInTheUnitedStates=1.0,UnitedStatesPlacesWithOrthodoxJewishCommunities=1.0} => {Label=highest}",1,2,1,1,0.004,0.004,0.667,0.667,highest,1,1,0,0
{PopulatedPlacesOnTheHudsonRiver=1.0} => {Label=highest},"{PortSettlementsInTheUnitedStates=1.0,PopulatedPlacesOnTheHudsonRiver=1.0} => {Label=highest}",1,2,1,1,0.004,0.004,0.667,0.667,highest,1,1,0,0
{PrefecturesOfJapan=1.0} => {Label=highest},"{HostCitiesOfTheSummerOlympicGames=1.0,PrefecturesOfJapan=1.0} => {Label=highest}",1,2,1,1,0.004,0.004,0.667,0.667,highest,1,1,0,0
{PopulatedPlacesInTheUnitedStatesWithHispanicPluralityPopulations=1.0} => {Label=high},"{PortSettlementsInTheUnitedStates=1.0,PopulatedPlacesInTheUnitedStatesWithHispanicPluralityPopulations=1.0} => {Label=high}",1,2,1,1,0.013,0.009,0.8,0.75,high,3,2,0,0
{PopulatedPlacesInMadrid=1.0} => {Label=high},"{CapitalsInEurope=1.0,PopulatedPlacesInMadrid=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{CountySeatsInPennsylvania=1.0} => {Label=high},"{PortSettlementsInTheUnitedStates=1.0,CountySeatsInPennsylvania=1.0} => {Label=high}",1,2,1,1,0.009,0.009,0.75,0.75,high,2,2,0,0
{PortCitiesAndTownsInScotland=1.0} => {Label=high},"{EuropeanCapitalsOfCulture=1.0,PortCitiesAndTownsInScotland=1.0} => {Label=high}",1,2,1,1,0.009,0.004,0.75,0.667,high,2,1,0,0
{CountySeatsInPennsylvania=1.0} => {Label=high},"{PortSettlementsInTheUnitedStates=1.0,CountySeatsInPennsylvania=1.0} => {Label=high}",1,2,1,1,0.009,0.009,0.75,0.75,high,2,2,0,0
{UniversityTownsInTheUnitedKingdom=1.0} => {Label=high},"{CapitalsInEurope=1.0,UniversityTownsInTheUnitedKingdom=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{PopulatedPlacesInTheUnitedStatesWithHispanicPluralityPopulations=1.0} => {Label=high},"{PortSettlementsInTheUnitedStates=1.0,PopulatedPlacesInTheUnitedStatesWithHispanicPluralityPopulations=1.0} => {Label=high}",1,2,1,1,0.013,0.009,0.8,0.75,high,3,2,0,0
{PopulatedPlacesInGeorgiaU.S.State)WithAfricanAmericanMajorityPopulations=1.0} => {Label=high},"{HostCitiesOfTheSummerOlympicGames=1.0,UnitedStatesPlacesWithOrthodoxJewishCommunities=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{WorldHeritageSitesInTheCzechRepublic=1.0} => {Label=high},"{CapitalsInEurope=1.0,WorldHeritageSitesInTheCzechRepublic=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
"{PopulatedPlacesInWayneCounty,Michigan=1.0} => {Label=high}","{PortSettlementsInTheUnitedStates=1.0,FormerUnitedStatesStateCapitals=1.0,UndergroundRailroadLocations=1.0} => {Label=high}",1,3,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high},"{CapitalsInEurope=1.0,NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high}",1,2,1,1,0.009,0.009,0.75,0.75,high,2,2,0,0
{PopulatedPlacesInTheMunicipalityOfLjubljana=1.0} => {Label=high},"{CapitalsInEurope=1.0,PopulatedPlacesInTheMunicipalityOfLjubljana=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{PortCitiesInSouthAmerica=1.0} => {Label=high},"{CapitalsInSouthAmerica=1.0,PortCitiesInSouthAmerica=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{MunicipalitiesOfVilniusCounty=1.0} => {Label=high},"{CapitalsInEurope=1.0,MunicipalitiesOfVilniusCounty=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{CityCountiesOfPoland=1.0} => {Label=high},"{CapitalsInEurope=1.0,CityCountiesOfPoland=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{CompaniesBasedInBratislava=1.0} => {Label=high},"{CapitalsInEurope=1.0,PopulatedPlacesOnTheDanube=1.0,CompaniesBasedInBratislava=1.0} => {Label=high}",1,3,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{FederalTerritoriesInMalaysia=1.0} => {Label=high},"{CapitalDistrictsAndTerritories=1.0,PopulatedPlacesEstablishedIn1857=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{RomanSitesInGreece=1.0} => {Label=high},"{CapitalsInEurope=1.0,RomanSitesInGreece=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{CitiesAndTownsInEstonia=1.0} => {Label=high},"{CapitalsInEurope=1.0,CitiesAndTownsInEstonia=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high},"{CapitalsInEurope=1.0,NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high}",1,2,1,1,0.009,0.009,0.75,0.75,high,2,2,0,0
{ProvincesOfArgentina=1.0} => {Label=high},"{CapitalsInSouthAmerica=1.0,ProvincesOfArgentina=1.0} => {Label=high}",1,2,1,1,0.004,0.004,0.667,0.667,high,1,1,0,0
{PopulatedPlacesOnTheYangtzeRiver=1.0} => {Label=low},"{PortCitiesAndTownsInChina=1.0,PopulatedPlacesOnTheYangtzeRiver=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{PopulatedPlacesInBotswana=1.0} => {Label=low},"{CapitalsInAfrica=1.0,PopulatedPlacesInBotswana=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{ProvincialCapitalsInZambia=1.0} => {Label=low},"{CapitalsInAfrica=1.0,ProvincialCapitalsInZambia=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{PopulatedPlacesInGuatemala=1.0} => {Label=low},"{CapitalsInNorthAmerica=1.0,PopulatedPlacesInGuatemala=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{PopulatedPlacesInLaPazDepartmentBolivia)=1.0} => {Label=low},"{CapitalsInSouthAmerica=1.0,PopulatedPlacesInLaPazDepartmentBolivia)=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{CitiesInLiaoning=1.0} => {Label=low},"{ProvincialCapitalsInChina=1.0,CitiesInLiaoning=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{RegionalCapitalsInSenegal=1.0} => {Label=low},"{PortCitiesInAfrica=1.0,CapitalsInAfrica=1.0} => {Label=low}",1,2,1,0.8,0.004,0.017,0.667,0.714,low,1,4,0,1
{PopulatedPlacesInGabon=1.0} => {Label=low},"{PortCitiesInAfrica=1.0,CapitalsInAfrica=1.0} => {Label=low}",1,2,1,0.8,0.004,0.017,0.667,0.714,low,1,4,0,1
{RegionalCapitalsInGhana=1.0} => {Label=low},"{PortCitiesInAfrica=1.0,CapitalsInAfrica=1.0} => {Label=low}",1,2,1,0.8,0.004,0.017,0.667,0.714,low,1,4,0,1
{PopulatedPlacesOnLakeVictoria=1.0} => {Label=low},"{CapitalsInAfrica=1.0,PopulatedPlacesOnLakeVictoria=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{PopulatedPlacesInEgypt=1.0} => {Label=low},"{CapitalsInAfrica=1.0,PopulatedPlacesInEgypt=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{PopulatedPlacesInElSalvador=1.0} => {Label=low},"{CapitalsInNorthAmerica=1.0,PopulatedPlacesInElSalvador=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{PopulatedPlacesInNicaragua=1.0} => {Label=low},"{CapitalsInNorthAmerica=1.0,PopulatedPlacesInNicaragua=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{ProvincesOfKazakhstan=1.0} => {Label=low},"{FormerNationalCapitals=1.0,ProvincesOfKazakhstan=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{ProvincialCapitalsInMozambique=1.0} => {Label=low},"{PortCitiesInAfrica=1.0,CapitalsInAfrica=1.0} => {Label=low}",1,2,1,0.8,0.004,0.017,0.667,0.714,low,1,4,0,1
{PopulatedPlacesInVenezuela=1.0} => {Label=low},"{CapitalsInSouthAmerica=1.0,PopulatedPlacesInVenezuela=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{PopulatedPlacesInBenin=1.0} => {Label=low},"{CapitalsInAfrica=1.0,PopulatedPlacesInBenin=1.0} => {Label=low}",1,2,1,1,0.004,0.004,0.667,0.667,low,1,1,0,0
{PopulatedPlacesInTheGambia=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,PopulatedPlacesInTheGambia=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{ProvincialCapitalsInKenya=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,ProvincialCapitalsInKenya=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{WorldHeritageSitesInAlgeria=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,WorldHeritageSitesInAlgeria=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{ProvincesOfRwanda=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,ProvincesOfRwanda=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{MetropolitanAreasOfPakistan=1.0} => {Label=lowest},"{CapitalsInAsia=1.0,PlannedCitiesInPakistan=1.0} => {Label=lowest}",1,2,1,1,0.013,0.004,0.8,0.667,lowest,3,1,0,0
{ProvincesOfCambodia=1.0} => {Label=lowest},"{CapitalsInAsia=1.0,ProvincesOfCambodia=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{PortCitiesInAzerbaijan=1.0} => {Label=lowest},"{CapitalsInAsia=1.0,PortCitiesInAzerbaijan=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{ProvincialCapitalsInAngola=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,ProvincialCapitalsInAngola=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{PortsAndHarboursOfBurma=1.0} => {Label=lowest},"{FormerNationalCapitals=1.0,PortsAndHarboursOfTheIndianOcean=1.0} => {Label=lowest}",1,2,1,1,0.004,0.009,0.667,0.75,lowest,1,2,0,0
{PopulatedPlacesInTehranCounty=1.0} => {Label=lowest},"{CapitalsInAsia=1.0,PopulatedPlacesInTehranCounty=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{RegionsOfEthiopia=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,RegionsOfEthiopia=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{ProvincesOfZimbabwe=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,ProvincesOfZimbabwe=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{PopulatedPlacesInLagunes=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,PopulatedPlacesInLagunes=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{PopulatedPlacesInTheDhakaDivision=1.0} => {Label=lowest},"{CapitalsInAsia=1.0,PopulatedPlacesInTheDhakaDivision=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{PortCitiesAndTownsInNigeria=1.0} => {Label=lowest},"{FormerNationalCapitals=1.0,PortCitiesAndTownsInNigeria=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{PopulatedPlacesInTheFederalCapitalTerritoryNigeria)=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,PopulatedPlacesInTheFederalCapitalTerritoryNigeria)=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{PopulatedPlacesInTheCentreRegionBurkinaFaso)=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,PopulatedPlacesInTheCentreRegionBurkinaFaso)=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{RegionalCapitalsInMadagascar=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,RegionalCapitalsInMadagascar=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{RegionsOfNiger=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,CapitalDistrictsAndTerritories=1.0} => {Label=lowest}",1,2,1,1,0.004,0.009,0.667,0.75,lowest,1,2,0,0
{RegionsOfMali=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,CapitalDistrictsAndTerritories=1.0} => {Label=lowest}",1,2,1,1,0.004,0.009,0.667,0.75,lowest,1,2,0,0
{ArchaeologicalSitesInSyria=1.0} => {Label=lowest},"{CapitalsInAsia=1.0,ArchaeologicalSitesInSyria=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{RegionsOfMauritania=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,RegionsOfMauritania=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{Zones=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,Zones=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{PopulatedPlacesInTheDemocraticRepublicOfTheCongo=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,PopulatedPlacesInTheDemocraticRepublicOfTheCongo=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{PopulatedPlacesInTheRepublicOfTheCongo=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,PopulatedPlacesInTheRepublicOfTheCongo=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{WorldHeritageSitesInYemen=1.0} => {Label=lowest},"{CapitalsInAsia=1.0,WorldHeritageSitesInYemen=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{RegionsOfChad=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,RegionsOfChad=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{StateCapitalsInSudan=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,StateCapitalsInSudan=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{PrefecturesOfTheCentralAfricanRepublic=1.0} => {Label=lowest},"{CapitalsInAfrica=1.0,PrefecturesOfTheCentralAfricanRepublic=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
{PopulatedPlacesEstablishedInThe8thCentury=1.0} => {Label=lowest},"{CapitalsInAsia=1.0,PopulatedPlacesEstablishedInThe8thCentury=1.0} => {Label=lowest}",1,2,1,1,0.004,0.004,0.667,0.667,lowest,1,1,0,0
