"","r1id","r2id","r1len","r2len","r1","r2","correctlyclassifiedoverlap","coverageoverlap","label","r1conf","r2conf","r1supp","r2supp","intersectionwholerule","literalintersectionlength","r1correct","r2correct","r1coverage","r2coverage","cluer1","cluer2","tag"
18,"60622486094577545314164023810514184501","274655948905694956472741743805769392736",2.0,1.0,"{PortSettlementsInTheUnitedStates=1.0,CountySeatsInPennsylvania=1.0} => {Label=high}","{CountySeatsInPennsylvania=1.0} => {Label=high}","","","high",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristics"
19,12.0,0.0,2.0,1.0,"{CitiesInSwitzerland=1.0,CantonalCapitalsOfSwitzerland=1.0} => {Label=highest}","{CantonalCapitalsOfSwitzerland=1.0} => {Label=highest}",1.0,1.0,"high",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Zurich', 'Bern', 'Geneva']",1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","","","arules"
20,16.0,9.0,2.0,1.0,"{CoastalCitiesInAustralia=1.0,AustralianCapitalCities=1.0} => {Label=highest}","{CoastalCitiesInAustralia=1.0} => {Label=highest}",1.0,1.0,"high",1.0,1.0,0.0173913043478261,0.0173913043478261,"['Melbourne', 'Sydney', 'Adelaide', 'Brisbane']",1.0,"['Sydney', 'Melbourne', 'Adelaide', 'Brisbane']","['Sydney', 'Melbourne', 'Adelaide', 'Brisbane']","['Sydney', 'Melbourne', 'Adelaide', 'Brisbane']","['Sydney', 'Melbourne', 'Adelaide', 'Brisbane']","","","arules"
21,26.0,13.0,1.0,2.0,"{CitiesInCentralAsia=1.0} => {Label=lowest}","{CitiesInCentralAsia=1.0,CapitalsInAsia=1.0} => {Label=lowest}",1.0,0.8571428571428571,"low",0.75,1.0,0.0130434782608696,0.0130434782608696,"['Dushanbe', 'Tashkent', 'Bishkek']",1.0,"['Tashkent', 'Bishkek', 'Dushanbe']","['Tashkent', 'Bishkek', 'Dushanbe']","['Almaty', 'Tashkent', 'Bishkek', 'Dushanbe']","['Tashkent', 'Bishkek', 'Dushanbe']","","","arules"
22,7.0,15.0,1.0,2.0,"{IndianCapitalCities=1.0} => {Label=low}","{MetropolitanCitiesInIndia=1.0,IndianCapitalCities=1.0} => {Label=low}",0.8888888888888888,0.8888888888888888,"low",1.0,1.0,0.0217391304347826,0.0173913043478261,"['Bangalore', 'Mumbai', 'Chennai', 'Kolkata']",1.0,"['Bangalore', 'Chennai', 'Mumbai', 'New Delhi', 'Kolkata']","['Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","['Bangalore', 'Chennai', 'Mumbai', 'New Delhi', 'Kolkata']","['Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","","","arules"
23,7.0,5.0,1.0,1.0,"{IndianCapitalCities=1.0} => {Label=low}","{MetropolitanCitiesInIndia=1.0} => {Label=low}",0.8,0.8,"low",1.0,1.0,0.0217391304347826,0.0217391304347826,"['Bangalore', 'Mumbai', 'Chennai', 'Kolkata']",0.0,"['Bangalore', 'Chennai', 'Mumbai', 'New Delhi', 'Kolkata']","['Pune', 'Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","['Bangalore', 'Chennai', 'Mumbai', 'New Delhi', 'Kolkata']","['Pune', 'Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","","","arules"
24,2.0,1.0,1.0,1.0,"{PopulatedPlacesEstablishedInThe1stMillenniumBC=1.0} => {Label=highest}","{CitiesInSwitzerland=1.0} => {Label=highest}",0.3333333333333333,0.3333333333333333,"high",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Geneva']",0.0,"['Vienna', 'Geneva', 'Milan']","['Zurich', 'Geneva', 'Bern']","['Vienna', 'Geneva', 'Milan']","['Zurich', 'Geneva', 'Bern']","","","arules"
25,"90003171364274367855812322410888704508","328121904838913059630366600942678785020",1.0,2.0,"{NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high}","{CapitalsInEurope=1.0,NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high}","","","high",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristics"
26,"90003171364274367855812322410888704508","328121904838913059630366600942678785020",1.0,2.0,"{NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high}","{CapitalsInEurope=1.0,NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high}","","","high",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristics"
27,34.0,23.0,1.0,2.0,"{PortCitiesInAfrica=1.0} => {Label=low}","{PortCitiesInAfrica=1.0,CapitalsInAfrica=1.0} => {Label=low}",1.0,0.9090909090909092,"low",0.666666666666667,0.8,0.0173913043478261,0.0173913043478261,"['Dakar', 'Libreville', 'Accra', 'Maputo']",1.0,"['Dakar', 'Libreville', 'Accra', 'Maputo']","['Dakar', 'Libreville', 'Accra', 'Maputo']","['Port Louis', 'Dakar', 'Libreville', 'Accra', 'Maputo', 'Douala']","['Port Louis', 'Dakar', 'Libreville', 'Accra', 'Maputo']","","","arules"
28,"312373262426978430067121487790481046177","45181211757818150742758372217896158736",2.0,1.0,"{CapitalsInAsia=1.0,PlannedCitiesInPakistan=1.0} => {Label=lowest}","{MetropolitanAreasOfPakistan=1.0} => {Label=lowest}","","","lowest",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristics"
29,"314401222875618431259039150211562017465","242593162747153957733206892303425517528",1.0,2.0,"{VikingAgePopulatedPlaces=1.0} => {Label=highest}","{CapitalsInEurope=1.0,VikingAgePopulatedPlaces=1.0} => {Label=highest}","","","highest",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristics"
30,0.0,2.0,1.0,1.0,"{CantonalCapitalsOfSwitzerland=1.0} => {Label=highest}","{PopulatedPlacesEstablishedInThe1stMillenniumBC=1.0} => {Label=highest}",0.3333333333333333,0.3333333333333333,"high",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Geneva']",0.0,"['Zurich', 'Geneva', 'Bern']","['Vienna', 'Geneva', 'Milan']","['Zurich', 'Geneva', 'Bern']","['Vienna', 'Geneva', 'Milan']","","","arules"
31,16.0,11.0,2.0,1.0,"{CoastalCitiesInAustralia=1.0,AustralianCapitalCities=1.0} => {Label=highest}","{AustralianCapitalCities=1.0} => {Label=highest}",0.8888888888888888,0.8888888888888888,"high",1.0,1.0,0.0173913043478261,0.0217391304347826,"['Melbourne', 'Sydney', 'Adelaide', 'Brisbane']",1.0,"['Sydney', 'Melbourne', 'Adelaide', 'Brisbane']","['Sydney', 'Melbourne', 'Adelaide', 'Canberra', 'Brisbane']","['Sydney', 'Melbourne', 'Adelaide', 'Brisbane']","['Sydney', 'Melbourne', 'Adelaide', 'Canberra', 'Brisbane']","","","arules"
32,4.0,14.0,1.0,2.0,"{CapitalsOfPakistan=1.0} => {Label=lowest}","{MetropolitanAreasOfPakistan=1.0,CapitalsOfPakistan=1.0} => {Label=lowest}",1.0,1.0,"low",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Karachi', 'Islamabad', 'Lahore']",1.0,"['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","","","arules"
33,"69826718773633547667698848775646067996","144088631963153361686707432166696802072",1.0,2.0,"{CitiesInSwitzerland=1.0} => {Label=highest}","{CapitalsInEurope=1.0,WorldHeritageSitesInSwitzerland=1.0} => {Label=highest}","","","highest",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristics"
34,29.0,6.0,1.0,1.0,"{PortCitiesAndTownsOfTheNorthSea=1.0} => {Label=highest}","{GermanStateCapitals=1.0} => {Label=highest}",0.2857142857142857,0.25,"high",0.75,1.0,0.0130434782608696,0.0173913043478261,"['Hamburg']",0.0,"['Amsterdam', 'Hamburg', 'Oslo']","['Munich', 'Berlin', 'Hamburg', 'Stuttgart']","['Amsterdam', 'Hamburg', 'Oslo', 'Aberdeen']","['Munich', 'Berlin', 'Hamburg', 'Stuttgart']","","","arules"
35,14.0,3.0,2.0,1.0,"{MetropolitanAreasOfPakistan=1.0,CapitalsOfPakistan=1.0} => {Label=lowest}","{MetropolitanAreasOfPakistan=1.0} => {Label=lowest}",1.0,1.0,"low",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Karachi', 'Islamabad', 'Lahore']",1.0,"['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","","","arules"
36,3.0,4.0,1.0,1.0,"{MetropolitanAreasOfPakistan=1.0} => {Label=lowest}","{CapitalsOfPakistan=1.0} => {Label=lowest}",1.0,1.0,"low",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Karachi', 'Islamabad', 'Lahore']",0.0,"['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","","","arules"
37,1.0,0.0,1.0,1.0,"{CitiesInSwitzerland=1.0} => {Label=highest}","{CantonalCapitalsOfSwitzerland=1.0} => {Label=highest}",1.0,1.0,"high",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Zurich', 'Bern', 'Geneva']",0.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","","","TEST"
38,12.0,0.0,2.0,1.0,"{CitiesInSwitzerland=1.0,CantonalCapitalsOfSwitzerland=1.0} => {Label=highest}","{CantonalCapitalsOfSwitzerland=1.0} => {Label=highest}",1.0,1.0,"high",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Zurich', 'Bern', 'Geneva']",1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","","","TEST"
39,"274655948905694956472741743805769392736","60622486094577545314164023810514184501",1.0,2.0,"{CountySeatsInPennsylvania=1.0} => {Label=high}","{PortSettlementsInTheUnitedStates=1.0,CountySeatsInPennsylvania=1.0} => {Label=high}","","","high",1.0,1.0,"","","","","","","","","","","TEST"
40,"60622486094577545314164023810514184501","274655948905694956472741743805769392736",2.0,1.0,"{PortSettlementsInTheUnitedStates=1.0,CountySeatsInPennsylvania=1.0} => {Label=high}","{CountySeatsInPennsylvania=1.0} => {Label=high}","","","high",1.0,1.0,"","","","","","","","","","","TEST"
41,25.0,24.0,1.0,1.0,"{PopulatedCoastalPlacesInJapan=1.0} => {Label=high}","{PortSettlementsInJapan=1.0} => {Label=high}",1.0,1.0,"high",0.75,0.75,0.0130434782608696,0.0130434782608696,"['Yokohama', 'Osaka', 'Kobe']",0.0,"['Kobe', 'Yokohama', 'Osaka']","['Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","","","TEST"
42,2.0,12.0,1.0,2.0,"{PopulatedPlacesEstablishedInThe1stMillenniumBC=1.0} => {Label=highest}","{CitiesInSwitzerland=1.0,CantonalCapitalsOfSwitzerland=1.0} => {Label=highest}",0.3333333333333333,0.3333333333333333,"high",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Geneva']",0.0,"['Vienna', 'Geneva', 'Milan']","['Zurich', 'Geneva', 'Bern']","['Vienna', 'Geneva', 'Milan']","['Zurich', 'Geneva', 'Bern']","","","TEST"
43,"175108142107955880191952258659758030307","228058176694295263485897857663939554001",1.0,2.0,"{ProvincialCapitalsInMozambique=1.0} => {Label=low}","{PortCitiesInAfrica=1.0,CapitalsInAfrica=1.0} => {Label=low}","","","low",1.0,0.8,"","","","","","","","","","","TEST"
44,31.0,24.0,2.0,1.0,"{PopulatedCoastalPlacesInJapan=1.0,PortSettlementsInJapan=1.0} => {Label=high}","{PortSettlementsInJapan=1.0} => {Label=high}",1.0,1.0,"high",0.75,0.75,0.0130434782608696,0.0130434782608696,"['Yokohama', 'Osaka', 'Kobe']",1.0,"['Kobe', 'Yokohama', 'Osaka']","['Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","","","TEST"
45,5.0,15.0,1.0,2.0,"{MetropolitanCitiesInIndia=1.0} => {Label=low}","{MetropolitanCitiesInIndia=1.0,IndianCapitalCities=1.0} => {Label=low}",0.8888888888888888,0.8888888888888888,"low",1.0,1.0,0.0217391304347826,0.0173913043478261,"['Bangalore', 'Mumbai', 'Chennai', 'Kolkata']",1.0,"['Pune', 'Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","['Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","['Pune', 'Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","['Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","","","TEST"
46,"228058176694295263485897857663939554001","180083146646906528065097401218984495135",2.0,1.0,"{PortCitiesInAfrica=1.0,CapitalsInAfrica=1.0} => {Label=low}","{RegionalCapitalsInGhana=1.0} => {Label=low}","","","low",0.8,1.0,"","","","","","","","","","","TEST"
47,7.0,15.0,1.0,2.0,"{IndianCapitalCities=1.0} => {Label=low}","{MetropolitanCitiesInIndia=1.0,IndianCapitalCities=1.0} => {Label=low}",0.8888888888888888,0.8888888888888888,"low",1.0,1.0,0.0217391304347826,0.0173913043478261,"['Bangalore', 'Mumbai', 'Chennai', 'Kolkata']",1.0,"['Bangalore', 'Chennai', 'Mumbai', 'New Delhi', 'Kolkata']","['Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","['Bangalore', 'Chennai', 'Mumbai', 'New Delhi', 'Kolkata']","['Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","","","TEST"
48,"69826718773633547667698848775646067996","144088631963153361686707432166696802072",1.0,2.0,"{CitiesInSwitzerland=1.0} => {Label=highest}","{CapitalsInEurope=1.0,WorldHeritageSitesInSwitzerland=1.0} => {Label=highest}","","","highest",1.0,1.0,"","","","","","","","","","","TEST"
49,"90003171364274367855812322410888704508","328121904838913059630366600942678785020",1.0,2.0,"{NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high}","{CapitalsInEurope=1.0,NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high}","","","high",1.0,1.0,"","","","","","","","","","","TEST"
50,3.0,4.0,1.0,1.0,"{MetropolitanAreasOfPakistan=1.0} => {Label=lowest}","{CapitalsOfPakistan=1.0} => {Label=lowest}",1.0,1.0,"low",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Karachi', 'Islamabad', 'Lahore']",0.0,"['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","","","TEST"
51,"221051683448137331264039752078235215353","301038215826858447275791210362646601290",2.0,1.0,"{CapitalsInAfrica=1.0,CapitalDistrictsAndTerritories=1.0} => {Label=lowest}","{RegionsOfNiger=1.0} => {Label=lowest}","","","lowest",1.0,1.0,"","","","","","","","","","","TEST"
52,"314401222875618431259039150211562017465","242593162747153957733206892303425517528",1.0,2.0,"{VikingAgePopulatedPlaces=1.0} => {Label=highest}","{CapitalsInEurope=1.0,VikingAgePopulatedPlaces=1.0} => {Label=highest}","","","highest",1.0,1.0,"","","","","","","","","","","TEST"
53,"90003171364274367855812322410888704508","328121904838913059630366600942678785020",1.0,2.0,"{NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high}","{CapitalsInEurope=1.0,NUTS3StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=high}","","","high",1.0,1.0,"","","","","","","","","","","TEST"
54,25.0,31.0,1.0,2.0,"{PopulatedCoastalPlacesInJapan=1.0} => {Label=high}","{PopulatedCoastalPlacesInJapan=1.0,PortSettlementsInJapan=1.0} => {Label=high}",1.0,1.0,"high",0.75,0.75,0.0130434782608696,0.0130434782608696,"['Yokohama', 'Osaka', 'Kobe']",1.0,"['Kobe', 'Yokohama', 'Osaka']","['Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","","","TEST"
55,1.0,12.0,1.0,2.0,"{CitiesInSwitzerland=1.0} => {Label=highest}","{CitiesInSwitzerland=1.0,CantonalCapitalsOfSwitzerland=1.0} => {Label=highest}",1.0,1.0,"high",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Zurich', 'Bern', 'Geneva']",1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","","","TEST"
56,14.0,3.0,2.0,1.0,"{MetropolitanAreasOfPakistan=1.0,CapitalsOfPakistan=1.0} => {Label=lowest}","{MetropolitanAreasOfPakistan=1.0} => {Label=lowest}",1.0,1.0,"low",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Karachi', 'Islamabad', 'Lahore']",1.0,"['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","['Islamabad', 'Lahore', 'Karachi']","","","TEST"
