"id","r1id","r2id","r1len","r2len","r1","r2","correctlyclassifiedoverlap","coverageoverlap","label","r1conf","r2conf","r1supp","r2supp","intersectionwholerule","literalintersectionlength","r1correct","r2correct","r1coverage","r2coverage","cluer1","cluer2","tag","which_of_the_rules_do_you_find_as_more_plausible_gold","which_of_the_rules_do_you_find_as_more_plausible_gold_reason","_golden"
11,"","",1.0,3.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1947&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Member States Of The Commonwealth Of Nations&nbsp;<b>and</b> </li><li>States And Territories Established In 1947&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","","","high",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristicsLargeDiffInRuleLen","","",""
12,315.0,920.0,2.0,3.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>Southeast Asian Countries&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>Malayspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Developing 8Countries Member States&nbsp;<b>and</b> </li><li>Member States Of The Association Of Southeast Asian Nations&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>",1.0,1.0,"high",1.0,1.0,0.0136986301369863,0.0136986301369863,"['Malaysia', 'Indonesia']",0.0,"['Indonesia', 'Malaysia']","['Indonesia', 'Malaysia']","['Indonesia', 'Malaysia']","['Indonesia', 'Malaysia']","Following countries fall into all of the groups defined by the rule: <b>Indonesia, Malaysia</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Indonesia, Malaysia</b><br/> All these countries have a risk of traffic accidents <b>high</b>","differentLengthRulesDisjunctAttH","","",""
13,"","",1.0,2.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of NATO&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>European Countries&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>","","","low",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristicsOther","","",""
14,3717.0,4547.0,4.0,4.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1962&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Swahilispeaking Countries And Territories&nbsp;<b>and</b> </li><li>Least Developed Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Landlocked Countries&nbsp;<b>and</b> </li><li>Swahilispeaking Countries And Territories&nbsp;<b>and</b> </li><li>Least Developed Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>",1.0,1.0,"high",1.0,1.0,0.0136986301369863,0.0136986301369863,"['Rwanda', 'Uganda']",3.0,"['Rwanda', 'Uganda']","['Rwanda', 'Uganda']","['Rwanda', 'Uganda']","['Rwanda', 'Uganda']","Following countries fall into all of the groups defined by the rule: <b>Rwanda, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Rwanda, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>","sameLengthRulesNonDisjunctAttH","","",""
15,738.0,2803.0,3.0,4.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1963&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>World Trade Organization Member Economies&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1963&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>",1.0,1.0,"high",1.0,1.0,0.0136986301369863,0.0136986301369863,"['Malaysia', 'Kenya']",3.0,"['Kenya', 'Malaysia']","['Kenya', 'Malaysia']","['Kenya', 'Malaysia']","['Kenya', 'Malaysia']","Following countries fall into all of the groups defined by the rule: <b>Kenya, Malaysia</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Kenya, Malaysia</b><br/> All these countries have a risk of traffic accidents <b>high</b>","differentLengthRulesR2subsumingR1AttH","","",""
16,1224.0,4550.0,3.0,4.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1962&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Bantu Countries And Territories&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>Landlocked Countries&nbsp;<b>and</b> </li><li>Member States Of The African Union&nbsp;<b>and</b> </li><li>Swahilispeaking Countries And Territories&nbsp;<b>and</b> </li><li>African Union Member Economies&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>",1.0,1.0,"high",1.0,1.0,0.0205479452054795,0.0205479452054795,"['Rwanda', 'Uganda', 'Burundi']",0.0,"['Burundi', 'Rwanda', 'Uganda']","['Burundi', 'Rwanda', 'Uganda']","['Burundi', 'Rwanda', 'Uganda']","['Burundi', 'Rwanda', 'Uganda']","Following countries fall into all of the groups defined by the rule: <b>Burundi, Rwanda, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Burundi, Rwanda, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>","differentLengthRulesDisjunctAttH","","",""
17,7515.0,7361.0,4.0,1.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1966&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Member States Of The Commonwealth Of Nations&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1966&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>",1.0,1.0,"high",0.75,0.75,0.0205479452054795,0.0205479452054795,"['Guyana', 'Botswana', 'Lesotho']",1.0,"['Botswana', 'Guyana', 'Lesotho']","['Botswana', 'Guyana', 'Lesotho']","['Barbados', 'Botswana', 'Guyana', 'Lesotho']","['Barbados', 'Botswana', 'Guyana', 'Lesotho']","Following countries fall into all of the groups defined by the rule: <b>Barbados, Botswana, Guyana, Lesotho </b><br/>For 3 of these countries (Botswana, Guyana, Lesotho), the rule correctly predicts the rate of traffic accidents as <b>high</b>.","Following countries fall into all of the groups defined by the rule: <b>Barbados, Botswana, Guyana, Lesotho </b><br/>For 3 of these countries (Botswana, Guyana, Lesotho), the rule correctly predicts the rate of traffic accidents as <b>high</b>.","differentLengthRulesR1subsumingR2AttH","","",""
18,502.0,2426.0,2.0,3.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>European Union Member Economies&nbsp;<b>and</b> </li><li>Island Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Member States Of The Commonwealth Of Nations&nbsp;<b>and</b> </li><li>Member States Of The European Union&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>",1.0,1.0,"low",1.0,1.0,0.0205479452054795,0.0205479452054795,"['United Kingdom', 'Cyprus', 'Malta']",0.0,"['Cyprus', 'Malta', 'United Kingdom']","['Cyprus', 'Malta', 'United Kingdom']","['Cyprus', 'Malta', 'United Kingdom']","['Cyprus', 'Malta', 'United Kingdom']","Following countries fall into all of the groups defined by the rule: <b>Cyprus, Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Cyprus, Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>","differentLengthRulesDisjunctAttL","","",""
19,1186.0,261.0,3.0,2.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1918&nbsp;<b>and</b> </li><li>States And Territories Established In 1991&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1918&nbsp;<b>and</b> </li><li>States And Territories Established In 1991&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>",1.0,1.0,"low",1.0,1.0,0.0136986301369863,0.0136986301369863,"['Latvia', 'Estonia']",2.0,"['Estonia', 'Latvia']","['Estonia', 'Latvia']","['Estonia', 'Latvia']","['Estonia', 'Latvia']","Following countries fall into all of the groups defined by the rule: <b>Estonia, Latvia</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Estonia, Latvia</b><br/> All these countries have a risk of traffic accidents <b>low</b>","differentLengthRulesR1subsumingR2AttL","","",""
20,3980.0,4198.0,4.0,4.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The Community Of Portuguese Language Countries&nbsp;<b>and</b> </li><li>Least Developed Countries&nbsp;<b>and</b> </li><li>African Union Member Economies&nbsp;<b>and</b> </li><li>Bantu Countries And Territories&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Member States Of The African Union&nbsp;<b>and</b> </li><li>States And Territories Established In 1975&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>",1.0,1.0,"high",1.0,1.0,0.0136986301369863,0.0136986301369863,"['Angola', 'Mozambique']",0.0,"['Angola', 'Mozambique']","['Angola', 'Mozambique']","['Angola', 'Mozambique']","['Angola', 'Mozambique']","Following countries fall into all of the groups defined by the rule: <b>Angola, Mozambique</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Angola, Mozambique</b><br/> All these countries have a risk of traffic accidents <b>high</b>","sameLengthRulesDisjunctAttH","","",""
21,8332.0,8447.0,3.0,4.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>Arabicspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Middle Eastern Countries&nbsp;<b>and</b> </li><li>Member States Of The Cooperation Council For The Arab States Of The Gulf&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>Arabicspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Middle Eastern Countries&nbsp;<b>and</b> </li><li>Member States Of The Arab League&nbsp;<b>and</b> </li><li>Member States Of The Cooperation Council For The Arab States Of The Gulf&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>",1.0,1.0,"low",0.6,0.6,0.0205479452054795,0.0205479452054795,"['Bahrain', 'Qatar', 'United Arab Emirates']",3.0,"['Bahrain', 'Qatar', 'United Arab Emirates']","['Bahrain', 'Qatar', 'United Arab Emirates']","['Bahrain', 'Kuwait', 'Oman', 'Qatar', 'United Arab Emirates']","['Bahrain', 'Kuwait', 'Oman', 'Qatar', 'United Arab Emirates']","Following countries fall into all of the groups defined by the rule: <b>Bahrain, Kuwait, Oman, Qatar, United Arab Emirates </b><br/>For 3 of these countries (Bahrain, Qatar, United Arab Emirates), the rule correctly predicts the rate of traffic accidents as <b>low</b>.","Following countries fall into all of the groups defined by the rule: <b>Bahrain, Kuwait, Oman, Qatar, United Arab Emirates </b><br/>For 3 of these countries (Bahrain, Qatar, United Arab Emirates), the rule correctly predicts the rate of traffic accidents as <b>low</b>.","differentLengthRulesR2subsumingR1AttL","","",""
22,1237.0,1582.0,3.0,3.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1962&nbsp;<b>and</b> </li><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Landlocked Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Swahilispeaking Countries And Territories&nbsp;<b>and</b> </li><li>Least Developed Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>",1.0,1.0,"high",1.0,1.0,0.0136986301369863,0.0136986301369863,"['Rwanda', 'Uganda']",0.0,"['Rwanda', 'Uganda']","['Rwanda', 'Uganda']","['Rwanda', 'Uganda']","['Rwanda', 'Uganda']","Following countries fall into all of the groups defined by the rule: <b>Rwanda, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Rwanda, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>","sameLengthRulesDisjunctAttH","","",""
23,"","",1.0,2.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The European Union&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>European Countries&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>","","","low",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristicsOther","","",""
24,8019.0,8020.0,4.0,4.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Middle Eastern Countries&nbsp;<b>and</b> </li><li>Member States Of OPEC&nbsp;<b>and</b> </li><li>Member States Of The Cooperation Council For The Arab States Of The Gulf&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>Arabicspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The Arab League&nbsp;<b>and</b> </li><li>Member States Of OPEC&nbsp;<b>and</b> </li><li>Member States Of The Cooperation Council For The Arab States Of The Gulf&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>",1.0,1.0,"low",0.666666666666667,0.666666666666667,0.0136986301369863,0.0136986301369863,"['Qatar', 'United Arab Emirates']",2.0,"['Qatar', 'United Arab Emirates']","['Qatar', 'United Arab Emirates']","['Kuwait', 'Qatar', 'United Arab Emirates']","['Kuwait', 'Qatar', 'United Arab Emirates']","Following countries fall into all of the groups defined by the rule: <b>Kuwait, Qatar, United Arab Emirates </b><br/>For 2 of these countries (Qatar, United Arab Emirates), the rule correctly predicts the rate of traffic accidents as <b>low</b>.","Following countries fall into all of the groups defined by the rule: <b>Kuwait, Qatar, United Arab Emirates </b><br/>For 2 of these countries (Qatar, United Arab Emirates), the rule correctly predicts the rate of traffic accidents as <b>low</b>.","sameLengthRulesNonDisjunctAttL","","",""
25,782.0,3662.0,3.0,4.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1991&nbsp;<b>and</b> </li><li>Member States Of The European Union&nbsp;<b>and</b> </li><li>Baltic States&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1918&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>States And Territories Established In 1991&nbsp;<b>and</b> </li><li>Member States Of The European Union&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>",1.0,1.0,"low",1.0,1.0,0.0136986301369863,0.0136986301369863,"['Latvia', 'Estonia']",2.0,"['Estonia', 'Latvia']","['Estonia', 'Latvia']","['Estonia', 'Latvia']","['Estonia', 'Latvia']","Following countries fall into all of the groups defined by the rule: <b>Estonia, Latvia</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Estonia, Latvia</b><br/> All these countries have a risk of traffic accidents <b>low</b>","differentLengthRulesNeitherDisjunctNorSubsumingAttL","","",""
26,"","",1.0,3.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1981&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The Commonwealth Of Nations&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>States And Territories Established In 1981&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","","","high",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristicsLargeDiffInRuleLen","","",""
27,"","",1.0,3.0,"if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of OPEC&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","if the country falls into all of the following group(s) (simultaneously) <ul><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>South American Countries&nbsp;<b>and</b> </li><li>States And Territories Established In 1830&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>","","","high",0.75,1.0,"","","","","","","","","","","dfInvertedHeuristicsLargeDiffInRuleLen","","",""
