_unit_id,_created_at,_updated_at,_golden,cluer1,cluer2,correctlyclassifiedoverlap,coverageoverlap,id,intersectionwholerule,label,literalintersectionlength,r1,r1conf,r1correct,r1coverage,r1id,r1len,r1supp,r2,r2conf,r2correct,r2coverage,r2id,r2len,r2supp,tag,which_of_the_rules_do_you_find_as_more_plausible_gold,which_of_the_rules_do_you_find_as_more_plausible_gold_reason,what_is_the_rationale_for_your_choice_gold,what_is_the_rationale_for_your_choice_gold_reason,which_of_the_rules_do_you_find_as_more_plausible_gold,which_of_the_rules_do_you_find_as_more_plausible_gold_reason
815373519,10/26/2015 15:06:11,11/30/2015 15:44:54,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Qatar, United Arab Emirates</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Bahrain, Jordan, Kuwait, Oman, Qatar, United Arab Emirates </b><br/>For 3 of these countries (Bahrain, Qatar, United Arab Emirates), the rule correctly predicts the rate of traffic accidents as <b>low</b>.",,,11,,low,,if the country falls into all of the following group(s) (simultaneously) <ul><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Countries Bordering The South China Sea&nbsp;<b>and</b> </li><li>Member States Of OPEC&nbsp;<b>and</b> </li><li>Landlocked Countries</li></ul>then the risk of traffic accidents is <b>low</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Middle Eastern Countries&nbsp;<b>and</b> </li><li>Member States Of The Arab League&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,,,,,,,TEST,Rule 2 (strong preference),"Rule 1  contains attributes obviously mutually exclusive (Landlocked countries, countries bordering sea).",,,Rule 2 (strong preference),"Rule 1  contains attributes obviously mutually exclusive (Landlocked countries, countries bordering sea)."
815373520,10/26/2015 15:06:11,11/29/2015 16:56:51,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Botswana, Lesotho</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Beninia, Bologa, Bulmeria, Birani, Claw Island, Equatorial Kundu, Gindra, Gorotoland, Ishmaelia, Kalya, Kenyopia, Malagawi, Moloni Republic, Mumbambu, Nambabwe, New Zanzibar, Niberia, Republic of West Africa </b><br/>For 5 of these countries (Malagawi, Moloni Republic, Mumbambu, Nambabwe, New Zanzibar), the rule correctly predicts the rate of traffic accidents as <b>high</b>.",,,12,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1966&nbsp;<b> and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Bantu Countries And Territories&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Alpine Countries&nbsp;<b>and</b> </li><li>Islands</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,Rule 1 (strong preference),"Rule 2 contains attributes obviously mutually exclusive (Alpine countries, Islands). ",,,Rule 1 (strong preference),"Rule 2 contains attributes obviously mutually exclusive (Alpine countries, Islands). "
815373521,10/26/2015 15:06:11,12/2/2015 12:37:47,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Comoros, Mozambique, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Gindra, Kamanga, Kinjanja</b><br/> All these countries have a risk of traffic accidents <b>high</b>",,,13,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Swahilispeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;<b>and</b> </li><li>Bantu Countries And Territories&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Nordic Countries&nbsp;<b>and</b> </li><li>Member States Of The Commonwealth Of Nations&nbsp;<b>and</b> </li><li>Latin American Countries<b> and</b> </li><li>Least Developed Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,Rule 1 (strong preference),"Rule 2 contains attributes obviously mutually exclusive (Least Developed Countries, Nordic countries).",,,Rule 1 (strong preference),"Rule 2 contains attributes obviously mutually exclusive (Least Developed Countries, Nordic countries)."
815373522,10/26/2015 15:06:11,12/4/2015 08:15:56,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Bahrain, Qatar, United Arab Emirates</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Alpine Emirates, Carpathia, Corinthia</b><br/> All these countries have a risk of traffic accidents <b>low</b>",,,14,,low,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The Arab League&nbsp;<b>and</b> </li><li>States And Territories Established In 1971&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Western Asian Countries&nbsp;<b>and</b> </li><li>EuropeanCountries<b> and</b> </li><li>States And Territories Established In 1971&nbsp;<b>and</b> </li><li>Member States Of The Cooperation Council For The Arab States Of The Gulf&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,,,,,,,TEST,Rule 1 (strong preference),"Rule 2 contains attributes obviously mutually exclusive (European Countries, Member States Of The Cooperation Council For The Arab States Of The Gulf).",,,Rule 1 (strong preference),"Rule 2 contains attributes obviously mutually exclusive (European Countries, Member States Of The Cooperation Council For The Arab States Of The Gulf)."
815373523,10/26/2015 15:06:11,12/3/2015 10:12:09,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Malaysia, Pakistan, United Arab Emirates </b><br/>For 2 of these countries (Malaysia, Pakistan), the rule correctly predicts the rate of traffic accidents as <b>high</b>.","Following countries fall into all of the groups defined by the rule: <b>Beninia, Bologa, Bulmeria, Birani, Claw Island, Equatorial Kundu, Gindra, Gorotoland, Ishmaelia, Kalya, Kenyopia, Malagawi, Moloni Republic, Mumbambu, Nambabwe, New Zanzibar, Niberia, Republic of West Africa </b><br/>For 5 of these countries (Malagawi, Moloni Republic, Mumbambu, Nambabwe, New Zanzibar), the rule correctly predicts the rate of traffic accidents as <b>high</b>.",,,15,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Federal Countries&nbsp;<b>and</b> </li><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Landlocked countries&nbsp;<b>and</b> </li><li>Countries Bordering The Atlantic Ocean</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,Rule 1 (strong preference),Rule 2 contains attributes obviously mutually exclusive (country cannot be landlocked and bordering an ocean).,,,Rule 1 (strong preference),Rule 2 contains attributes obviously mutually exclusive (country cannot be landlocked and bordering an ocean).
815373524,10/26/2015 15:06:11,12/4/2015 08:15:56,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Atlantis, Aztlán, El Dorado, Hidalgo, Lemuria</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Rwanda, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>",,,17,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Swahilispeaking Countries And Territories&nbsp;<b>and</b> </li><li>States And Territories Established In 1966&nbsp;<b> and</b> </li><li>States And Territories Established In 1918</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1962&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Member States Of The African Union&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,Rule 2 (strong preference),Rule 1 contains attributes obviously mutually exclusive (country cannot be founded in two different years).,,,Rule 2 (strong preference),Rule 1 contains attributes obviously mutually exclusive (country cannot be founded in two different years).
815373525,10/26/2015 15:06:11,12/4/2015 08:18:51,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Tazonia, Xanadu, Zanj</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Botswana, Cameroon, Kenya, Lesotho, Liberia, Malawi, Mauritius, Namibia, Nigeria, Rwanda, Seychelles, Sierra Leone, South Africa, Sudan, Swaziland, Uganda </b><br/>For 14 of these countries (Botswana, Cameroon, Kenya, Lesotho, Liberia, Malawi, Namibia, Nigeria, Rwanda, Sierra Leone, South Africa, Sudan, Swaziland, Uganda), the rule correctly predicts the rate of traffic accidents as <b>high</b>.",,,18,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Arabicspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The African Union&nbsp;<b>and</b> </li><li>States And Territories Established In 1966<b>and</b> </li><li>States And Territories Established In 1918</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>African Union Member Economies&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,Rule 2 (strong preference),Rule 1 contains attributes obviously mutually exclusive (country cannot be founded in two different years).,,,Rule 2 (strong preference),Rule 1 contains attributes obviously mutually exclusive (country cannot be founded in two different years).
815373526,10/26/2015 15:06:11,12/3/2015 10:12:09,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Transformatia, Zembla</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Cameroon, Mozambique, Nigeria, Sierra Leone, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>",,,19,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1962&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Island countries&nbsp;<b>and</b> </li><li>Landlocked Countries&nbsp;&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Member States Of The African Union&nbsp;<b>and</b> </li><li>Member States Of The Commonwealth Of Nations&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,Rule 2 (strong preference),Rule 1 contains attributes obviously mutually exclusive (country cannot be both island and landlocked).,,,Rule 2 (strong preference),Rule 1 contains attributes obviously mutually exclusive (country cannot be both island and landlocked).
815374264,10/26/2015 15:06:28,10/26/2015 20:26:07,"","Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,0,"['Saudi Arabia', 'Iraq']",high,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Member States Of OPEC&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2668.0,4.0,0.0136986301369863,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Middle Eastern Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2683.0,4.0,0.0136986301369863,sameLengthRulesNonDisjunctAttH,"","",,,"",""
815374265,10/26/2015 15:06:28,10/26/2015 21:58:17,"","Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>",1.0,1.0,1,"['United Kingdom', 'Malta']",low,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The Council Of Europe&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Island Countries&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",5158.0,4.0,0.0136986301369863,if the country falls into all of the following group(s) (simultaneously) <ul><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",548.0,2.0,0.0136986301369863,differentLengthRulesR1subsumingR2AttL,"","",,,"",""
815374266,10/26/2015 15:06:28,10/26/2015 21:58:17,"","Following countries fall into all of the groups defined by the rule: <b>Cameroon, Nigeria</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Cameroon, Nigeria</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,2,"['Cameroon', 'Nigeria']",high,3.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1960&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The Commonwealth Of Nations&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Cameroon', 'Nigeria']","['Cameroon', 'Nigeria']",2035.0,3.0,0.0136986301369863,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1960&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Member States Of The Commonwealth Of Nations&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Cameroon', 'Nigeria']","['Cameroon', 'Nigeria']",5497.0,4.0,0.0136986301369863,differentLengthRulesR2subsumingR1AttH,"","",,,"",""
815374267,10/26/2015 15:06:28,10/26/2015 15:06:28,"","","","","",3,"",low,"",if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of NATO&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"","","",1.0,"",if the country falls into all of the following group(s) (simultaneously) <ul><li>European Countries&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"","","",2.0,"",dfInvertedHeuristicsOther,"","",,,"",""
